age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
55,entrepreneur,married,professional.course,no,yes,no,cellular,nov,thu,45,2,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
27,technician,single,basic.9y,no,yes,no,telephone,apr,wed,523,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes
53,technician,married,high.school,no,yes,no,cellular,mar,tue,539,2,999,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7,yes
50,blue-collar,single,basic.4y,no,yes,no,telephone,may,mon,306,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,admin.,single,university.degree,no,yes,no,cellular,jun,mon,243,4,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,yes
37,technician,divorced,professional.course,no,unknown,unknown,cellular,aug,tue,417,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
46,blue-collar,married,basic.4y,no,no,no,telephone,may,thu,246,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
23,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,250,4,999,1,failure,-1.7,94.215,-40.3,0.846,4991.6,yes
29,admin.,single,university.degree,unknown,yes,no,cellular,aug,mon,129,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
26,unemployed,single,university.degree,no,yes,no,cellular,aug,thu,203,1,3,3,success,-1.7,94.027,-38.3,0.904,4991.6,yes
30,admin.,married,high.school,no,no,no,telephone,may,mon,302,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin.,married,university.degree,no,yes,no,cellular,aug,wed,768,2,999,2,failure,-2.9,92.201,-31.4,0.854,5076.2,yes
43,admin.,married,high.school,no,yes,no,cellular,aug,tue,291,2,3,2,success,-2.9,92.201,-31.4,0.838,5076.2,yes
53,management,married,university.degree,no,yes,no,telephone,jul,fri,199,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
33,blue-collar,single,high.school,no,yes,no,cellular,mar,wed,203,4,999,1,failure,-1.8,92.843,-50,1.602,5099.1,yes
23,blue-collar,single,basic.4y,no,yes,no,cellular,may,fri,28,8,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
32,admin.,married,university.degree,no,no,no,cellular,may,mon,112,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
24,services,single,high.school,no,no,no,telephone,jun,mon,700,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
52,retired,divorced,university.degree,no,no,no,cellular,aug,thu,427,1,15,1,success,-2.9,92.201,-31.4,0.883,5076.2,yes
35,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,275,1,6,2,success,-1.7,94.215,-40.3,0.889,4991.6,yes
38,blue-collar,married,basic.4y,no,no,no,telephone,jul,tue,292,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,no
32,services,single,professional.course,no,yes,no,cellular,jul,fri,671,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
35,services,married,basic.9y,no,yes,no,cellular,apr,thu,150,1,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,no
32,services,single,basic.9y,no,yes,no,cellular,jul,thu,165,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
29,admin.,single,high.school,no,yes,yes,cellular,jun,tue,100,2,999,0,nonexistent,-2.9,92.963,-40.8,1.286,5076.2,no
23,student,single,high.school,no,no,no,cellular,jun,wed,200,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
60,admin.,married,professional.course,no,yes,no,cellular,apr,thu,473,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,yes
33,unemployed,married,high.school,no,yes,yes,cellular,oct,tue,301,2,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,yes
30,student,single,professional.course,no,yes,no,cellular,jul,wed,334,4,999,2,failure,-1.7,94.215,-40.3,0.84,4991.6,yes
30,admin.,married,university.degree,no,yes,yes,cellular,may,fri,449,4,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,yes
27,blue-collar,single,basic.9y,no,yes,yes,cellular,may,thu,224,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
28,entrepreneur,married,basic.9y,no,no,no,telephone,may,mon,896,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
52,management,divorced,university.degree,no,yes,no,cellular,nov,mon,89,2,999,1,failure,-0.1,93.2,-42,4.191,5195.8,no
34,admin.,single,university.degree,no,yes,no,cellular,may,wed,36,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
34,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,thu,249,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
45,blue-collar,married,basic.6y,no,no,no,cellular,aug,wed,921,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
41,admin.,divorced,university.degree,no,yes,no,telephone,nov,mon,110,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
37,admin.,married,high.school,no,no,no,cellular,jul,tue,106,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,no
37,technician,divorced,professional.course,unknown,yes,no,cellular,jul,mon,1134,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
30,admin.,married,high.school,unknown,yes,no,cellular,apr,thu,648,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
51,technician,single,university.degree,no,yes,no,cellular,jun,fri,509,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
39,admin.,married,high.school,no,no,no,cellular,may,mon,597,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
59,retired,married,professional.course,no,no,no,cellular,aug,fri,218,3,3,1,success,-1.7,94.027,-38.3,0.905,4991.6,yes
24,blue-collar,single,high.school,no,no,no,cellular,oct,thu,1032,1,3,1,success,-1.1,94.601,-49.5,1.025,4963.6,yes
31,blue-collar,married,basic.9y,no,yes,no,cellular,nov,wed,167,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
30,admin.,single,high.school,no,no,no,cellular,may,mon,133,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
29,admin.,single,university.degree,no,yes,no,cellular,nov,mon,183,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
41,entrepreneur,married,university.degree,no,yes,no,cellular,nov,tue,854,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,yes
36,admin.,single,university.degree,no,yes,no,cellular,may,thu,19,8,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
25,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,763,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,yes
37,technician,married,professional.course,no,no,no,cellular,jul,thu,37,8,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
33,services,married,high.school,no,no,no,cellular,may,thu,192,1,999,1,failure,-1.8,93.876,-40,0.677,5008.7,yes
27,blue-collar,single,professional.course,no,yes,no,telephone,oct,mon,3284,1,999,0,nonexistent,-0.1,93.798,-40.4,4.912,5195.8,no
43,admin.,married,high.school,no,no,no,cellular,may,fri,880,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
40,admin.,married,university.degree,unknown,no,no,cellular,nov,mon,890,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,yes
59,retired,married,university.degree,unknown,no,no,cellular,jul,wed,767,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
33,admin.,single,high.school,no,yes,no,cellular,may,thu,30,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
56,unemployed,married,basic.9y,no,no,no,cellular,may,mon,540,1,999,1,failure,-1.8,93.876,-40,0.701,5008.7,yes
54,admin.,married,professional.course,no,yes,no,cellular,aug,wed,103,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
32,technician,single,university.degree,unknown,no,no,telephone,may,wed,857,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,yes
29,unemployed,single,high.school,no,yes,no,cellular,oct,fri,168,2,999,0,nonexistent,-1.1,94.601,-49.5,1.029,4963.6,no
37,unemployed,married,university.degree,no,yes,no,cellular,oct,thu,249,2,999,1,failure,-3.4,92.431,-26.9,0.733,5017.5,yes
58,retired,married,high.school,no,no,no,cellular,nov,thu,477,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,yes
30,technician,married,basic.6y,no,no,no,cellular,may,thu,25,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
34,admin.,single,university.degree,no,yes,no,cellular,apr,tue,461,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
44,blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,55,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,technician,single,professional.course,unknown,yes,no,cellular,nov,thu,239,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
67,retired,married,basic.6y,no,no,no,cellular,aug,tue,460,2,999,0,nonexistent,-2.9,92.201,-31.4,0.859,5076.2,yes
38,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,171,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
25,student,single,high.school,no,no,no,telephone,apr,wed,405,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
50,management,married,university.degree,unknown,unknown,unknown,telephone,may,mon,93,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
34,admin.,married,university.degree,no,no,no,telephone,may,fri,85,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
44,admin.,single,university.degree,no,yes,no,telephone,jun,thu,541,17,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
30,admin.,married,university.degree,no,yes,no,cellular,nov,thu,857,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,yes
25,blue-collar,single,basic.9y,no,yes,no,cellular,may,fri,655,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,yes
33,admin.,married,university.degree,no,yes,yes,cellular,nov,wed,54,7,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
45,admin.,married,university.degree,no,unknown,unknown,cellular,sep,tue,55,6,999,1,failure,-3.4,92.379,-29.8,0.819,5017.5,no
43,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,fri,57,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,thu,318,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
33,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,1183,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
49,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,86,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
38,admin.,divorced,university.degree,no,no,no,cellular,apr,mon,360,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
56,admin.,married,basic.6y,no,yes,no,cellular,aug,mon,240,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
25,services,divorced,high.school,no,yes,yes,cellular,jun,thu,437,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
23,technician,single,high.school,no,no,yes,cellular,may,thu,1129,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
33,admin.,single,university.degree,no,yes,yes,telephone,jun,wed,238,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
30,services,married,unknown,no,yes,no,telephone,jun,wed,597,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
50,technician,married,unknown,no,yes,yes,cellular,may,tue,400,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,yes
35,technician,single,professional.course,no,no,no,telephone,jun,tue,149,1,999,0,nonexistent,-1.7,94.055,-39.8,0.713,4991.6,no
30,self-employed,single,university.degree,no,no,no,telephone,jun,wed,58,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
34,blue-collar,married,professional.course,no,yes,no,cellular,nov,tue,135,3,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
35,services,married,high.school,no,no,no,telephone,may,wed,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
41,technician,divorced,university.degree,no,no,no,cellular,aug,fri,519,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
32,admin.,single,university.degree,unknown,yes,yes,cellular,aug,mon,128,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
34,admin.,single,high.school,no,unknown,unknown,telephone,aug,fri,22,1,999,0,nonexistent,-1.7,94.027,-38.3,0.89,4991.6,no
29,admin.,single,university.degree,no,no,no,telephone,jun,wed,442,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
40,services,married,high.school,no,yes,no,telephone,may,fri,288,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
38,unemployed,single,high.school,no,yes,no,cellular,aug,mon,712,2,999,0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2,yes
35,blue-collar,married,professional.course,no,no,no,telephone,may,tue,241,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,management,married,university.degree,no,no,no,telephone,jun,fri,84,5,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
34,admin.,married,university.degree,no,yes,no,cellular,may,mon,915,2,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,yes
44,management,single,high.school,no,no,no,cellular,may,mon,233,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
36,admin.,married,high.school,no,yes,no,telephone,nov,wed,114,1,999,1,failure,-0.1,93.2,-42,4.286,5195.8,yes
25,admin.,single,professional.course,no,yes,no,cellular,apr,wed,114,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes
23,management,single,university.degree,no,no,no,cellular,jul,thu,1584,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,yes
33,technician,married,high.school,no,yes,no,cellular,jul,fri,1360,9,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
80,retired,married,basic.4y,no,yes,no,cellular,mar,thu,156,1,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,yes
29,technician,single,professional.course,no,yes,no,cellular,apr,mon,740,3,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,yes
43,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,150,7,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
53,blue-collar,single,unknown,no,yes,no,cellular,may,wed,320,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
31,technician,married,university.degree,no,yes,no,cellular,jun,fri,276,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
36,entrepreneur,married,basic.9y,no,no,no,cellular,apr,fri,299,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
43,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,155,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,technician,married,professional.course,no,yes,no,cellular,may,mon,934,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,yes
75,retired,married,basic.4y,no,yes,no,cellular,oct,wed,1020,3,999,3,failure,-1.1,94.601,-49.5,0.959,4963.6,no
26,technician,divorced,professional.course,no,no,yes,cellular,jul,tue,500,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
38,technician,married,professional.course,unknown,no,no,cellular,nov,wed,1049,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,yes
69,retired,divorced,basic.4y,no,yes,no,cellular,apr,mon,453,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
49,services,married,basic.4y,unknown,no,no,cellular,aug,mon,309,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
39,technician,married,professional.course,no,no,no,telephone,oct,thu,171,1,999,0,nonexistent,-0.1,93.798,-40.4,4.921,5195.8,yes
32,blue-collar,single,high.school,no,no,no,telephone,jul,tue,480,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31,admin.,single,university.degree,no,no,yes,cellular,nov,wed,212,2,3,6,success,-1.1,94.767,-50.8,1.048,4963.6,no
41,admin.,divorced,high.school,no,yes,no,cellular,aug,fri,258,2,6,3,success,-1.7,94.027,-38.3,0.905,4991.6,yes
54,retired,married,basic.4y,no,yes,yes,telephone,jul,tue,533,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
48,technician,married,professional.course,unknown,yes,no,telephone,jun,wed,321,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
37,entrepreneur,married,basic.6y,unknown,unknown,unknown,telephone,may,fri,71,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
19,student,single,unknown,no,unknown,unknown,cellular,apr,mon,213,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
24,technician,single,basic.9y,no,yes,no,cellular,jul,wed,74,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
60,technician,married,basic.4y,no,yes,no,cellular,oct,thu,133,6,999,2,failure,-3.4,92.431,-26.9,0.722,5017.5,no
49,technician,single,university.degree,no,yes,no,cellular,apr,thu,861,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
35,services,single,basic.4y,no,yes,no,telephone,may,tue,1777,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
31,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,704,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,yes
53,management,married,university.degree,no,yes,no,cellular,jul,fri,136,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,unemployed,single,high.school,no,no,yes,cellular,may,tue,58,1,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,no
29,technician,single,university.degree,no,no,no,telephone,nov,mon,360,1,3,2,success,-1.1,94.767,-50.8,1.05,4963.6,yes
37,unemployed,married,university.degree,unknown,no,no,telephone,may,thu,76,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
32,technician,married,professional.course,no,yes,no,cellular,aug,wed,159,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
26,admin.,single,university.degree,no,no,no,cellular,aug,mon,242,1,6,5,success,-1.7,94.027,-38.3,0.904,4991.6,yes
58,management,married,basic.4y,no,yes,yes,cellular,may,wed,184,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
50,admin.,married,high.school,no,yes,no,cellular,jul,tue,98,2,999,1,failure,-2.9,92.469,-33.6,1.044,5076.2,no
40,management,divorced,university.degree,no,yes,no,cellular,jun,wed,117,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
53,blue-collar,single,basic.9y,no,yes,no,telephone,jul,wed,897,2,999,0,nonexistent,-1.7,94.215,-40.3,0.84,4991.6,yes
37,technician,single,university.degree,no,no,no,cellular,apr,mon,190,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
34,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,963,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
46,services,married,high.school,no,yes,yes,cellular,apr,thu,354,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
34,blue-collar,married,basic.6y,unknown,no,yes,telephone,may,thu,159,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
39,technician,married,university.degree,unknown,no,no,telephone,may,wed,202,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
29,admin.,married,high.school,no,no,no,telephone,jun,mon,100,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
